# Distribution of neutrino fluxes in the Solar Fusion II AGSS09 standard solar model model.
# 
# Solar Models with Accretion I. Application to the Solar Abundance Problem
# arxiv:1104:1639 - ApJ, 743, 24S
#
# The cumulative neutrino fluxes from Table 1 of AGSS09 model are given in the row below.
# 
# 6.03E+00 1.47E-02 8.31E-07 4.56E-01 4.59E-04 2.17E-02 1.56E-02 3.40E-04 
#
# 
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass 
# 5) Fraction of pp neutrinos produced in the zone 
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone

0.0390 14.989 1.975  2.14713201e-04  2.787277e+00  4.076397e+00  1.359462e+00  1.004253e+01  1.778253e+01  1.130648e+01  1.571013e+01  1.666185e+01  
0.0395 14.977 1.974  2.20119180e-04  2.849804e+00  4.160874e+00  1.394476e+00  1.018705e+01  1.788104e+01  1.139027e+01  1.582656e+01  1.676866e+01  
0.0400 14.966 1.973  2.25593725e-04  2.912647e+00  4.245447e+00  1.429888e+00  1.032884e+01  1.796980e+01  1.146864e+01  1.593546e+01  1.686695e+01  
0.0405 14.954 1.972  2.30346047e-04  2.975788e+00  4.330084e+00  1.465695e+00  1.046782e+01  1.804879e+01  1.154154e+01  1.603676e+01  1.695665e+01  
0.0410 14.942 1.971  2.36556309e-04  3.039213e+00  4.414757e+00  1.501892e+00  1.060388e+01  1.811795e+01  1.160880e+01  1.613024e+01  1.703753e+01  
0.0415 14.930 1.971  2.39988590e-04  3.102895e+00  4.499426e+00  1.538470e+00  1.073697e+01  1.817742e+01  1.167069e+01  1.621625e+01  1.711004e+01  
0.0420 14.918 1.970  2.46879275e-04  3.166826e+00  4.584068e+00  1.575429e+00  1.086700e+01  1.822715e+01  1.172700e+01  1.629449e+01  1.717383e+01  
0.0425 14.905 1.969  2.49864015e-04  3.230978e+00  4.668643e+00  1.612760e+00  1.099389e+01  1.826725e+01  1.177786e+01  1.636517e+01  1.722919e+01  
0.0430 14.893 1.968  2.57488987e-04  3.295341e+00  4.753135e+00  1.650460e+00  1.111761e+01  1.829780e+01  1.182333e+01  1.642837e+01  1.727620e+01  
0.0435 14.881 1.967  2.61063071e-04  3.359891e+00  4.837497e+00  1.688521e+00  1.123804e+01  1.831881e+01  1.186329e+01  1.648391e+01  1.731470e+01  
0.0440 14.868 1.966  2.67060330e-04  3.424613e+00  4.921710e+00  1.726938e+00  1.135516e+01  1.833045e+01  1.189793e+01  1.653205e+01  1.734501e+01  
0.0445 14.855 1.965  2.73137850e-04  3.489490e+00  5.005743e+00  1.765706e+00  1.146889e+01  1.833273e+01  1.192712e+01  1.657263e+01  1.736694e+01  
0.0450 14.842 1.964  2.77586881e-04  3.554500e+00  5.089562e+00  1.804818e+00  1.157919e+01  1.832584e+01  1.195104e+01  1.660587e+01  1.738081e+01  
0.0455 14.829 1.963  2.83832292e-04  3.619627e+00  5.173140e+00  1.844268e+00  1.168599e+01  1.830984e+01  1.196961e+01  1.663170e+01  1.738650e+01  
0.0460 14.816 1.963  2.89287578e-04  3.684853e+00  5.256449e+00  1.884050e+00  1.178924e+01  1.828487e+01  1.198289e+01  1.665017e+01  1.738413e+01  
0.0465 14.803 1.962  2.93890319e-04  3.750157e+00  5.339452e+00  1.924157e+00  1.188889e+01  1.825108e+01  1.199096e+01  1.666140e+01  1.737383e+01  
0.0470 14.790 1.961  2.99773541e-04  3.815521e+00  5.422125e+00  1.964583e+00  1.198490e+01  1.820864e+01  1.199389e+01  1.666548e+01  1.735575e+01  
0.0475 14.777 1.960  3.05791792e-04  3.880930e+00  5.504444e+00  2.005320e+00  1.207726e+01  1.815770e+01  1.199178e+01  1.666257e+01  1.733009e+01  
0.0480 14.763 1.959  3.11092415e-04  3.946362e+00  5.586374e+00  2.046361e+00  1.216591e+01  1.809840e+01  1.198464e+01  1.665268e+01  1.729686e+01  
0.0485 14.750 1.958  3.15437279e-04  4.011795e+00  5.667883e+00  2.087699e+00  1.225081e+01  1.803099e+01  1.197260e+01  1.663597e+01  1.725629e+01  
0.0490 14.736 1.957  3.22904802e-04  4.077219e+00  5.748955e+00  2.129326e+00  1.233197e+01  1.795558e+01  1.195573e+01  1.661256e+01  1.720851e+01  
0.0495 14.722 1.956  3.27532059e-04  4.142610e+00  5.829554e+00  2.171236e+00  1.240935e+01  1.787242e+01  1.193416e+01  1.658261e+01  1.715377e+01  
0.0500 14.708 1.955  3.34075010e-04  4.207953e+00  5.909658e+00  2.213421e+00  1.248292e+01  1.778164e+01  1.190788e+01  1.654612e+01  1.709203e+01  
0.0505 14.694 1.954  3.39699283e-04  4.273229e+00  5.989237e+00  2.255874e+00  1.255263e+01  1.768341e+01  1.187688e+01  1.650306e+01  1.702330e+01  
0.0510 14.680 1.953  3.45437784e-04  4.338415e+00  6.068257e+00  2.298586e+00  1.261849e+01  1.757801e+01  1.184132e+01  1.645368e+01  1.694787e+01  
0.0515 14.666 1.952  3.50174861e-04  4.403496e+00  6.146699e+00  2.341549e+00  1.268050e+01  1.746565e+01  1.180136e+01  1.639818e+01  1.686601e+01  
0.0520 14.652 1.951  3.56467426e-04  4.468451e+00  6.224534e+00  2.384754e+00  1.273866e+01  1.734657e+01  1.175714e+01  1.633677e+01  1.677795e+01  
0.0525 14.638 1.950  3.61738329e-04  4.533265e+00  6.301741e+00  2.428192e+00  1.279297e+01  1.722099e+01  1.170878e+01  1.626960e+01  1.668391e+01  
0.0530 14.623 1.949  3.66668901e-04  4.597917e+00  6.378291e+00  2.471855e+00  1.284343e+01  1.708917e+01  1.165640e+01  1.619686e+01  1.658410e+01  
0.0535 14.609 1.948  3.74005969e-04  4.662394e+00  6.454165e+00  2.515736e+00  1.289005e+01  1.695126e+01  1.160006e+01  1.611861e+01  1.647861e+01  
0.0540 14.594 1.947  3.80274667e-04  4.726675e+00  6.529335e+00  2.559827e+00  1.293279e+01  1.680748e+01  1.153977e+01  1.603486e+01  1.636746e+01  
0.0545 14.579 1.946  3.86500330e-04  4.790744e+00  6.603775e+00  2.604119e+00  1.297166e+01  1.665804e+01  1.147560e+01  1.594574e+01  1.625079e+01  
0.0550 14.565 1.945  3.89488244e-04  4.854576e+00  6.677456e+00  2.648598e+00  1.300672e+01  1.650335e+01  1.140787e+01  1.585166e+01  1.612912e+01  
0.0555 14.550 1.944  3.97019600e-04  4.918161e+00  6.750369e+00  2.693262e+00  1.303798e+01  1.634352e+01  1.133668e+01  1.575278e+01  1.600264e+01  
0.0560 14.535 1.943  4.04511199e-04  4.981483e+00  6.822485e+00  2.738100e+00  1.306541e+01  1.617872e+01  1.126195e+01  1.564898e+01  1.587119e+01  
0.0565 14.520 1.942  4.08452842e-04  5.044517e+00  6.893778e+00  2.783099e+00  1.308907e+01  1.600934e+01  1.118398e+01  1.554068e+01  1.573531e+01  
